checkpoint,iteration,target_step,nearest_success_step,success_rate,pregrasp_success_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,mean_pregrasp_distance,mean_touch_target_distance,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_insertion_progress,min_distance,mean_reward,path
model_0.pt,0,0,0,0.0,0.0,0.0,0.0,0.3401412069797516,0.36880791187286377,0.3994256854057312,0.2415834367275238,-0.5290720462799072,0.7933570146560669,-0.5290720462799072,0.0,0.0,0.3300839960575104,1.3847579956054688,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-47-10/model_0.pt
model_50.pt,50,50,50,0.0,0.0029296875,0.908447265625,0.0,0.247787743806839,0.22715598344802856,0.21177247166633606,0.1727367639541626,0.8456904292106628,0.23745004832744598,0.8456904292106628,0.00025368243223056197,0.8989083766937256,0.088599294424057,1388.1607666015625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-47-10/model_50.pt
model_100.pt,100,100,100,0.0,0.015380859375,0.8955078125,0.0,0.19829849898815155,0.194623202085495,0.1992102563381195,0.18330040574073792,0.835221529006958,0.3967524766921997,0.835221529006958,0.0,0.6745618581771851,0.08265253901481628,1555.89892578125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-47-10/model_100.pt
model_150.pt,150,150,150,0.0,0.061279296875,0.912109375,0.0,0.1761452555656433,0.16846328973770142,0.170755535364151,0.1606595665216446,0.8782191276550293,0.33208540081977844,0.8782191276550293,0.0,0.8179531097412109,0.06749029457569122,1755.6929931640625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-47-10/model_150.pt
model_200.pt,200,200,200,0.0,0.198974609375,0.917236328125,0.0,0.14842066168785095,0.1379847377538681,0.14000163972377777,0.1286809891462326,0.9082119464874268,0.20570695400238037,0.9082119464874268,0.0,0.8386756181716919,0.055427469313144684,1886.9041748046875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-47-10/model_200.pt
model_250.pt,250,250,250,0.000732421875,0.24365234375,0.91357421875,0.00146484375,0.13424548506736755,0.12141064554452896,0.12200877070426941,0.10958635807037354,0.8970321416854858,0.0693255215883255,0.8970321416854858,0.0,0.8436264991760254,0.05988886207342148,2056.582275390625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-47-10/model_250.pt
model_300.pt,300,300,300,0.000732421875,0.702392578125,0.891357421875,0.02294921875,0.10914594680070877,0.10921697318553925,0.12522414326667786,0.09306012094020844,0.827964186668396,-0.055259719491004944,0.827964186668396,0.0,0.5221827030181885,0.050758883357048035,2615.2529296875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-47-10/model_300.pt
model_350.pt,350,350,350,0.00048828125,0.720703125,0.898193359375,0.072265625,0.10387420654296875,0.11555987596511841,0.13900040090084076,0.09298831224441528,0.8551100492477417,-0.021248990669846535,0.8551100492477417,0.0,0.2551463544368744,0.07420309633016586,2750.882568359375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-47-10/model_350.pt
model_400.pt,400,400,400,0.0,0.821533203125,0.9453125,0.318359375,0.08417525887489319,0.10411368310451508,0.13269558548927307,0.07124468684196472,0.8813397884368896,-0.15783780813217163,0.8813397884368896,0.0,0.13813500106334686,0.07660660147666931,2873.99072265625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-47-10/model_400.pt
model_450.pt,450,450,450,0.0,0.733642578125,0.857421875,0.33447265625,0.11018960177898407,0.1335582137107849,0.16324946284294128,0.08959479629993439,0.8082314729690552,-0.012248506769537926,0.8082314729690552,0.0,0.09647861123085022,0.0820857584476471,2649.9404296875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-47-10/model_450.pt
model_500.pt,500,500,500,0.00048828125,0.7802734375,0.930419921875,0.503173828125,0.08217606693506241,0.10235279053449631,0.1314149796962738,0.07155637443065643,0.8747206926345825,-0.10387883335351944,0.8747206926345825,0.0,0.14248768985271454,0.0850374698638916,3088.875244140625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-47-10/model_500.pt
model_550.pt,550,550,550,0.00048828125,0.81787109375,0.883544921875,0.6494140625,0.07369818538427353,0.10008157789707184,0.13275514543056488,0.05976054072380066,0.7774673104286194,-0.21594253182411194,0.7774673104286194,0.0,0.06778205186128616,0.08098053932189941,3215.580810546875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-47-10/model_550.pt
model_600.pt,600,600,600,0.0,0.73046875,0.83740234375,0.565673828125,0.08652716875076294,0.11092773079872131,0.1413050889968872,0.07282726466655731,0.7735345959663391,-0.15541282296180725,0.7735345959663391,0.0,0.11516712605953217,0.08942154049873352,3362.35791015625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_17-47-10/model_600.pt
