checkpoint,iteration,target_step,nearest_success_step,success_rate,pregrasp_success_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_touch_ready_rate,mean_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_insertion_progress,min_distance,mean_reward,path
model_550.pt,550,550,550,0.0,0.0,0.1806640625,0.0,0.0,0.29074835777282715,0.30687233805656433,0.2871285378932953,0.327128529548645,0.2526973485946655,0.12141212821006775,0.8151116371154785,0.12141212821006775,0.0,0.0898149237036705,0.2859104573726654,13.006851196289062,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_19-01-55/model_550.pt
model_600.pt,600,600,600,0.0,0.7646484375,0.9345703125,0.0,0.0,0.10740356147289276,0.10791600495576859,0.08312193304300308,0.12312193214893341,0.09929361939430237,0.8963695764541626,-0.09431596100330353,0.8963695764541626,0.0,0.5049676895141602,0.0737650990486145,2073.69140625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_19-01-55/model_600.pt
model_650.pt,650,650,650,0.0,0.80322265625,0.913818359375,0.0,0.0,0.1074446588754654,0.10067346692085266,0.07166308164596558,0.1116630882024765,0.09252901375293732,0.8490002751350403,-0.13429681956768036,0.8490002751350403,0.0,0.754871129989624,0.06557004153728485,2509.490966796875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_19-01-55/model_650.pt
model_700.pt,700,700,700,0.000244140625,0.80322265625,0.933837890625,0.000244140625,0.000244140625,0.10151340812444687,0.09506085515022278,0.06703954190015793,0.10703954845666885,0.0885486900806427,0.8724188804626465,-0.14453935623168945,0.8724188804626465,0.0,0.7391879558563232,0.06542326509952545,2563.64306640625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_19-01-55/model_700.pt
model_750.pt,750,750,750,0.0009765625,0.786376953125,0.888916015625,0.0009765625,0.0009765625,0.10983993113040924,0.10282138735055923,0.07480816543102264,0.11480817198753357,0.09405824542045593,0.8172940015792847,-0.12350611388683319,0.8172940015792847,0.0,0.7753831148147583,0.06281855702400208,2638.379638671875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_19-01-55/model_750.pt
model_800.pt,800,800,800,0.000244140625,0.878662109375,0.93603515625,0.000244140625,0.000244140625,0.09452423453330994,0.08568648993968964,0.05733250454068184,0.09733249247074127,0.0800442174077034,0.861351728439331,-0.21304893493652344,0.861351728439331,0.0,0.8214305639266968,0.06380301713943481,2718.988525390625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_19-01-55/model_800.pt
model_850.pt,850,850,850,0.000244140625,0.7744140625,0.905029296875,0.000244140625,0.000244140625,0.10704472661018372,0.09982986003160477,0.07153020799160004,0.11153021454811096,0.09270505607128143,0.8385084867477417,-0.1282966285943985,0.8385084867477417,0.0,0.7766016125679016,0.06435210257768631,2737.84130859375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_19-01-55/model_850.pt
model_900.pt,900,900,900,0.0,0.7724609375,0.880126953125,0.0,0.0,0.11031319200992584,0.10641589015722275,0.08085530996322632,0.12085530161857605,0.09773322939872742,0.8067305684089661,-0.10707113891839981,0.8067305684089661,0.0,0.6837024092674255,0.06833400577306747,2805.7978515625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_19-01-55/model_900.pt
model_950.pt,950,950,950,0.0,0.826171875,0.929931640625,0.0,0.0,0.09830189496278763,0.09037179499864578,0.06215360015630722,0.10215359926223755,0.08410889655351639,0.8600866794586182,-0.15940696001052856,0.8600866794586182,0.0,0.8052043318748474,0.06736931204795837,2787.974609375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_19-01-55/model_950.pt
model_1000.pt,1000,1000,1000,0.0009765625,0.851318359375,0.930419921875,0.0009765625,0.0009765625,0.0972466990351677,0.08754359930753708,0.058503471314907074,0.0985034704208374,0.08209265768527985,0.8418444395065308,-0.22165754437446594,0.8418444395065308,0.0,0.8529515266418457,0.06448341906070709,2752.278076171875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_19-01-55/model_1000.pt
model_1049.pt,1049,1049,1049,0.0,0.858642578125,0.92578125,0.0,0.0,0.09744110703468323,0.08914811909198761,0.06110015884041786,0.10110016167163849,0.08304920047521591,0.8371796607971191,-0.21760940551757812,0.8371796607971191,0.0,0.8274844288825989,0.06453187018632889,2714.731689453125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-14_19-01-55/model_1049.pt
