checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_touch_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_pregrasp_line_error,min_distance,mean_reward,path
model_350.pt,350,350,350,0.00244140625,0.826171875,0.79833984375,0.70849609375,0.733642578125,0.793212890625,0.599853515625,0.6474609375,0.6474609375,0.826171875,0.06591796875,0.004638671875,0.09936650097370148,0.10669294744729996,0.10669294744729996,0.1492074877023697,0.14294540882110596,0.18294377624988556,0.08549858629703522,0.7631931304931641,0.7631931304931641,0.7631931304931641,0.0,0.2909849286079407,0.04801177978515625,1.6335963692881705e-08,0.07204559445381165,200.25033569335938,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-05-32/model_350.pt
model_400.pt,400,400,400,0.0,0.96630859375,0.91162109375,0.8466796875,0.89990234375,0.911376953125,0.791748046875,0.885986328125,0.885986328125,0.96630859375,0.09033203125,0.000244140625,0.06396659463644028,0.07074716687202454,0.07074716687202454,0.11773311346769333,0.11340278387069702,0.15340277552604675,0.054368674755096436,0.8841672539710999,0.8841672539710999,0.8841672539710999,0.0,0.33305948972702026,0.034319065511226654,1.2647934255483051e-08,0.07735390961170197,4717.806640625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-05-32/model_400.pt
model_450.pt,450,450,450,0.0,0.97265625,0.939453125,0.924560546875,0.9326171875,0.944091796875,0.899169921875,0.9267578125,0.918701171875,0.97265625,0.16455078125,0.0,0.0470552034676075,0.047236405313014984,0.047236405313014984,0.09629666060209274,0.09354247152805328,0.1335424780845642,0.03638899326324463,0.8462173938751221,0.8462173938751221,0.8462173938751221,0.0,0.49968332052230835,0.04286684840917587,1.4569803141739612e-08,0.08019331842660904,5321.4716796875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-05-32/model_450.pt
model_500.pt,500,500,500,0.0,0.96630859375,0.923583984375,0.91845703125,0.91845703125,0.927001953125,0.9169921875,0.9169921875,0.9169921875,0.96630859375,0.777587890625,0.0,0.06309299170970917,0.04114767909049988,0.04114767909049988,0.07238810509443283,0.06928125768899918,0.1092812567949295,0.033926695585250854,0.844167172908783,0.844167172908783,0.844167172908783,0.0,0.9327674508094788,0.2027912437915802,1.3263813158914672e-08,0.07934097945690155,7890.21630859375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-05-32/model_500.pt
model_550.pt,550,550,550,0.0,0.958984375,0.935791015625,0.8994140625,0.91748046875,0.946533203125,0.89306640625,0.9111328125,0.89306640625,0.958984375,0.810302734375,0.0,0.06093897297978401,0.03848220780491829,0.03848220780491829,0.06531155854463577,0.06221389025449753,0.10221389681100845,0.029542429372668266,0.8422635793685913,0.8422635793685913,0.8422635793685913,0.0,0.943891704082489,0.25453487038612366,1.5156288668549678e-08,0.07563704997301102,7624.185546875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-05-32/model_550.pt
model_600.pt,600,600,600,0.0,0.98046875,0.939208984375,0.931396484375,0.933837890625,0.943603515625,0.927490234375,0.929931640625,0.927490234375,0.98046875,0.8701171875,0.0,0.06754179298877716,0.04315996170043945,0.04315996170043945,0.056593507528305054,0.0533212348818779,0.09332123398780823,0.02796771749854088,0.856013834476471,0.856013834476471,0.856013834476471,0.0,0.9594475030899048,0.3800821304321289,1.4129777348159678e-08,0.07184045761823654,7458.138671875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-05-32/model_600.pt
model_650.pt,650,650,650,0.002685546875,0.925048828125,0.89453125,0.87744140625,0.886474609375,0.89599609375,0.87060546875,0.879638671875,0.87060546875,0.925048828125,0.801025390625,0.0029296875,0.07849182188510895,0.056039221584796906,0.056039221584796906,0.0688670352101326,0.0652589499950409,0.10525894910097122,0.03749357536435127,0.8061383366584778,0.8061383366584778,0.8061383366584778,0.0,0.8948091268539429,0.3718838095664978,1.3824951849983336e-08,0.06762591004371643,7152.7021484375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-05-32/model_650.pt
model_700.pt,700,700,700,0.0,0.88037109375,0.876708984375,0.860595703125,0.861083984375,0.87890625,0.855224609375,0.855712890625,0.855224609375,0.88037109375,0.802001953125,0.00048828125,0.08461682498455048,0.0635039359331131,0.0635039359331131,0.07819817960262299,0.07439286261796951,0.11439286172389984,0.04465289041399956,0.7324367761611938,0.7324367761611938,0.7324367761611938,0.0,0.881565511226654,0.34679919481277466,1.504968949461727e-08,0.07182490825653076,7636.2392578125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-05-32/model_700.pt
model_750.pt,750,750,750,0.001220703125,0.849609375,0.833251953125,0.68408203125,0.789306640625,0.85009765625,0.756591796875,0.783935546875,0.75927734375,0.849609375,0.638427734375,0.001953125,0.09668295830488205,0.07862487435340881,0.07862487435340881,0.08802463114261627,0.07930652797222137,0.11920056492090225,0.05960368365049362,0.6977435350418091,0.6977435350418091,0.6977435350418091,1.658459586906247e-05,0.8981202840805054,0.3941025733947754,1.3968603163050375e-08,0.03608665242791176,5570.2001953125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-05-32/model_750.pt
model_799.pt,799,799,799,0.000244140625,0.729736328125,0.675537109375,0.487548828125,0.80224609375,0.775634765625,0.5595703125,0.79248046875,0.70849609375,0.729736328125,0.438232421875,0.000244140625,0.11352425813674927,0.09909017384052277,0.09909017384052277,0.11259707808494568,0.10215441882610321,0.14215442538261414,0.08434263616800308,0.6328598260879517,0.6328598260879517,0.6328598260879517,0.0,0.8346544504165649,0.33553242683410645,1.3205688098594237e-08,0.07389886677265167,4988.12841796875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-15_12-05-32/model_799.pt
