checkpoint,iteration,target_step,nearest_success_step,success_rate,stage1_alignment_ready_rate,stage1_latched_rate,pregrasp_entry_success_rate,pregrasp_entry_ready_rate,pregrasp_entry_reached_rate,pregrasp_success_rate,pregrasp_hold_ready_rate,pregrasp_held_rate,stage2_pregrasp_ready_rate,stage2_latched_rate,stage2_alignment_ready_rate,stage3_insertion_ready_rate,stage3_latched_rate,stage3_touch_ready_rate,stage4_center_ready_rate,blue_final_center_ready_rate,stage4_push_ready_rate,mean_pregrasp_entry_distance,mean_pregrasp_distance,mean_gripper_center_pregrasp_distance,mean_touch_target_distance,mean_touch_error,mean_distance,mean_insertion_lateral_error,mean_alignment,mean_pregrasp_alignment,mean_insertion_alignment,mean_target_contact_penalty,mean_pregrasp_center_progress,mean_insertion_progress,mean_center_push_progress,mean_best_center_push_progress,mean_center_push_improvement,mean_best_target_center_distance,mean_target_center_improvement,mean_target_center_shell_improvement,mean_center_shortest_path_score,mean_stage4_time_pressure,mean_stage3_time_preserve,mean_terminal_success_quality,mean_near_terminal_reward,mean_stage_latch_reward,mean_progressive_stage_weight,mean_moving_pregrasp_fraction,moving_pregrasp_final_rate,moving_pregrasp_step_ready_rate,mean_moving_pregrasp_hold_progress,mean_moving_pregrasp_reward,mean_moving_pregrasp_funnel_reward,mean_moving_pregrasp_exp_reward,mean_moving_pregrasp_shell_improvement,mean_best_moving_pregrasp_distance,mean_final_insertion_reward,mean_pregrasp_line_error,mean_gripper_roll_alignment,min_distance,mean_reward,path
model_0.pt,0,0,0,0.069091796875,0.777587890625,0.881103515625,0.8212890625,0.580322265625,0.69384765625,0.899169921875,0.5693359375,0.69384765625,0.59033203125,0.69384765625,0.777587890625,0.3251953125,0.69384765625,0.02587890625,0.044677734375,0.025146484375,0.0,0.09348435699939728,0.08024430274963379,0.08024430274963379,0.09037469327449799,0.09037469327449799,0.09037469327449799,0.054402563720941544,0.7044912576675415,0.7044912576675415,0.7044912576675415,0.0,0.7141522169113159,0.2982214093208313,0.2982214093208313,0.4709141254425049,0.000256428902503103,0.38631778955459595,0.00016619241796433926,0.026611328125,0.4061601758003235,0.03730631619691849,0.007630510721355677,0.012321121990680695,0.05685056373476982,0.2549745440483093,0.9251107573509216,0.38652342557907104,0.162353515625,0.38916015625,0.2330322265625,0.0664902776479721,0.06466668844223022,0.1696631908416748,0.001708984375,0.627246618270874,0.0,1.4607295817370414e-08,-0.07827083766460419,0.03801608085632324,297.3013000488281,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-16_11-57-04/model_0.pt
model_50.pt,50,50,50,0.02587890625,0.666015625,0.823486328125,0.193603515625,0.117431640625,0.3720703125,0.25927734375,0.126708984375,0.3720703125,0.262451171875,0.3720703125,0.666015625,0.09912109375,0.3720703125,0.008056640625,0.019287109375,0.0068359375,0.015380859375,0.22952735424041748,0.21630245447158813,0.21630245447158813,0.20123660564422607,0.20123660564422607,0.20123660564422607,0.12784257531166077,0.6284922957420349,0.6284922957420349,0.6284922957420349,0.00015930602967273444,0.7452565431594849,0.6439152956008911,0.6439152956008911,0.49265730381011963,0.0004368402296677232,0.6593438386917114,6.625258538406342e-05,0.010986328125,0.1874551773071289,0.008602702058851719,0.00019048107787966728,0.004459063056856394,0.014476562850177288,0.17225798964500427,0.981623649597168,0.22426758706569672,0.118408203125,0.08935546875,0.0499267578125,0.016379455104470253,0.0139702670276165,0.03971586003899574,0.000732421875,0.7156022787094116,0.0018479353748261929,1.2159910411924102e-08,-0.022906627506017685,0.012171224690973759,843.728759765625,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-16_11-57-04/model_50.pt
model_100.pt,100,100,100,0.023193359375,0.546630859375,0.8935546875,0.241943359375,0.1494140625,0.402099609375,0.3515625,0.1435546875,0.402099609375,0.22705078125,0.402099609375,0.546630859375,0.114501953125,0.402099609375,0.0048828125,0.016357421875,0.00732421875,0.0244140625,0.2387433648109436,0.2201535850763321,0.2201535850763321,0.18925930559635162,0.18925930559635162,0.18925930559635162,0.14478281140327454,0.68338942527771,0.68338942527771,0.68338942527771,0.00039655264117754996,0.8578576445579529,0.6958112120628357,0.6958112120628357,0.43961870670318604,0.00021597441809717566,0.633313775062561,7.604312850162387e-05,0.010986328125,0.2658322751522064,0.01799723319709301,0.00013636428047902882,0.004229092039167881,0.012533972039818764,0.2034151256084442,1.0037801265716553,0.22270506620407104,0.0927734375,0.102294921875,0.062255859375,0.02283395826816559,0.0216994471848011,0.05648008733987808,0.002197265625,0.6886547803878784,0.0010550424922257662,1.2874847854504878e-08,0.1251593828201294,0.010101031512022018,551.0252685546875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-16_11-57-04/model_100.pt
model_150.pt,150,150,150,0.007080078125,0.373291015625,0.940673828125,0.231689453125,0.10791015625,0.675048828125,0.356201171875,0.1259765625,0.675048828125,0.2109375,0.675048828125,0.373291015625,0.061767578125,0.675048828125,0.004638671875,0.005615234375,0.001708984375,0.026611328125,0.188431516289711,0.17003683745861053,0.17003683745861053,0.14685489237308502,0.14685489237308502,0.14685489237308502,0.12161195278167725,0.6162805557250977,0.6162805557250977,0.6162805557250977,0.0,0.9316347241401672,0.850287675857544,0.850287675857544,0.5441532731056213,0.0004875893355347216,0.3676435351371765,2.716133531066589e-05,0.004638671875,0.12393473088741302,0.009331868961453438,0.0002915576915256679,0.0014615007676184177,0.005874792113900185,0.17695367336273193,1.0085511207580566,0.5370117425918579,0.416259765625,0.10498046875,0.087890625,0.009213434532284737,0.009604355320334435,0.021140603348612785,0.003173828125,0.3881867527961731,0.0054775625467300415,1.6653210366257554e-08,0.14489078521728516,0.02207944542169571,1742.398193359375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-16_11-57-04/model_150.pt
model_200.pt,200,200,200,0.00537109375,0.27685546875,0.94189453125,0.34228515625,0.063232421875,0.793701171875,0.603271484375,0.06591796875,0.793701171875,0.222412109375,0.793701171875,0.27685546875,0.0888671875,0.793701171875,0.004638671875,0.004638671875,0.0009765625,0.06201171875,0.13531075417995453,0.11138896644115448,0.11138896644115448,0.08726062625646591,0.08726062625646591,0.08726062625646591,0.05163593217730522,0.6493322253227234,0.6493322253227234,0.6493322253227234,2.4324839614564553e-05,0.9575896263122559,0.8716410994529724,0.8716410994529724,0.5801003575325012,0.000712673063389957,0.25375333428382874,1.4892077160766348e-05,0.002197265625,0.3415182828903198,0.02228841371834278,0.00012538798910100013,0.001317214104346931,0.006145342253148556,0.24917276203632355,1.0783164501190186,0.6260741949081421,0.470703125,0.04638671875,0.0333251953125,0.026489337906241417,0.013657395727932453,0.04280528053641319,0.00341796875,0.26606816053390503,0.03219469264149666,1.5202747505327352e-08,-0.03690098971128464,0.011177590116858482,2125.29248046875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-16_11-57-04/model_200.pt
model_250.pt,250,250,250,0.004638671875,0.349853515625,0.987548828125,0.397705078125,0.052978515625,0.840087890625,0.6416015625,0.08642578125,0.840087890625,0.301513671875,0.840087890625,0.349853515625,0.2216796875,0.840087890625,0.008544921875,0.00439453125,0.000732421875,0.20166015625,0.1363561749458313,0.11108570545911789,0.11108570545911789,0.08479395508766174,0.08479395508766174,0.08479395508766174,0.042378101497888565,0.6843732595443726,0.6843732595443726,0.6843732595443726,8.986134344013408e-05,0.9745121002197266,0.9076546430587769,0.9076546430587769,0.6540356278419495,0.0009966768557205796,0.2105841040611267,8.921506378101185e-06,0.00146484375,0.4319148659706116,0.09103434532880783,0.0015548563096672297,0.0013897242024540901,0.0038145012222230434,0.28078728914260864,1.1128736734390259,0.6493651866912842,0.47265625,0.070556640625,0.057373046875,0.04329383373260498,0.010422645136713982,0.05914086475968361,0.01171875,0.2174246907234192,0.058176446706056595,1.6047946971298188e-08,-0.003388369223102927,0.012482816353440285,6504.5439453125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-16_11-57-04/model_250.pt
model_300.pt,300,300,300,0.005126953125,0.580322265625,0.9638671875,0.279296875,0.063720703125,0.844970703125,0.613525390625,0.21826171875,0.844970703125,0.519775390625,0.844970703125,0.580322265625,0.47998046875,0.844970703125,0.0146484375,0.00439453125,0.0009765625,0.456298828125,0.14735601842403412,0.12098091095685959,0.12098091095685959,0.09501750767230988,0.09501750767230988,0.09501750767230988,0.04463913291692734,0.7051920294761658,0.7051920294761658,0.7051920294761658,0.0,0.9683377742767334,0.9280073046684265,0.9280073046684265,0.7292210459709167,0.0011132025392726064,0.20518556237220764,1.1820292456832249e-05,0.00146484375,0.46554017066955566,0.25268638134002686,0.012380152009427547,0.001595405861735344,0.006798140704631805,0.2280357927083969,1.1371235847473145,0.6533203125,0.49267578125,0.157470703125,0.143310546875,0.011035566218197346,0.0032391780987381935,0.013498746789991856,0.003662109375,0.21879148483276367,0.09308980405330658,1.4771554646131335e-08,0.007251495495438576,0.011039581149816513,5928.341796875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-16_11-57-04/model_300.pt
model_350.pt,350,350,350,0.00146484375,0.7041015625,0.952392578125,0.4287109375,0.112060546875,0.844970703125,0.675048828125,0.375,0.844970703125,0.65576171875,0.844970703125,0.7041015625,0.6259765625,0.844970703125,0.064453125,0.0009765625,0.00048828125,0.609130859375,0.14065611362457275,0.11502774059772491,0.11502774059772491,0.09841813147068024,0.09841813147068024,0.09841813147068024,0.039702944457530975,0.7387612462043762,0.7387612462043762,0.7387612462043762,0.0,0.9446256160736084,0.9086387157440186,0.9086387157440186,0.7927464246749878,0.0017352993600070477,0.2042730748653412,1.8237202311865985e-05,0.0029296875,0.5679500102996826,0.3662133812904358,0.036015335470438004,0.0001313975517405197,0.01973060891032219,0.2512572407722473,1.173649549484253,0.735595703125,0.63525390625,0.32470703125,0.314697265625,0.019776128232479095,0.0036668931134045124,0.018635720014572144,0.005126953125,0.21597328782081604,0.1602632850408554,1.4505690870691978e-08,-0.019123230129480362,0.033989034593105316,9843.3564453125,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-16_11-57-04/model_350.pt
model_400.pt,400,400,400,0.00244140625,0.80126953125,0.96533203125,0.281982421875,0.052001953125,0.83056640625,0.57763671875,0.2216796875,0.83056640625,0.68359375,0.83056640625,0.80126953125,0.644287109375,0.83056640625,0.01171875,0.00244140625,0.00048828125,0.621337890625,0.15962545573711395,0.13435086607933044,0.13435086607933044,0.11279787123203278,0.11279787123203278,0.11279787123203278,0.0412479005753994,0.736499547958374,0.736499547958374,0.736499547958374,1.475187309551984e-05,0.9420205354690552,0.8900381326675415,0.8900381326675415,0.7934478521347046,0.0017710902029648423,0.21887999773025513,1.0489225132914726e-05,0.00146484375,0.5513890385627747,0.3412402272224426,0.018463939428329468,0.0008082423591986299,0.008524555712938309,0.23403039574623108,1.1592965126037598,0.6659179925918579,0.44287109375,0.16650390625,0.1533203125,0.011112704873085022,0.005290865898132324,0.015307333320379257,0.003173828125,0.23459723591804504,0.10959066450595856,1.7887158421103777e-08,-0.03172356262803078,0.0325891338288784,10799.521484375,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-16_11-57-04/model_400.pt
model_450.pt,450,450,450,0.001708984375,0.80712890625,0.9375,0.244873046875,0.056884765625,0.85791015625,0.500732421875,0.21337890625,0.85791015625,0.7412109375,0.85791015625,0.80712890625,0.720703125,0.85791015625,0.034912109375,0.001708984375,0.0,0.709716796875,0.1683320850133896,0.14450731873512268,0.14450731873512268,0.12595483660697937,0.12595483660697937,0.12595483660697937,0.034643545746803284,0.7277206182479858,0.7277206182479858,0.7277206182479858,6.124494393588975e-05,0.9077385663986206,0.8820762634277344,0.8820762634277344,0.8372173309326172,0.0018460947321727872,0.19183048605918884,3.96329505747417e-06,0.0009765625,0.579177975654602,0.40600913763046265,0.024388127028942108,0.00048112060176208615,0.012503507547080517,0.23951499164104462,1.1828830242156982,0.652392566204071,0.41796875,0.15771484375,0.1513671875,0.011019611731171608,0.0029867389239370823,0.009801262989640236,0.0029296875,0.1964235007762909,0.12059963494539261,1.6704568395198294e-08,0.03013266995549202,0.03619801998138428,12598.076171875,/home/spark-robotics/work/isaac/src/IsaacLab/logs/rsl_rl/mt4_simplified_reach_direct/2026-05-16_11-57-04/model_450.pt
